scenario,region,sector,2020,2025,2030,2035,2040,2045,2050,2055,2060
Highcost_DAC,AH,Agricultural,0.806718996,0.769330301,0.745185924,0.690329482,0.569867367,0.466265145,0.360160434,0.224363307,0.17194222
Highcost_DAC,AH,Electricity generation,58.22674251,62.5798471,61.91087498,61.84243197,51.3299071,24.97397045,8.111915181,2.716491095,2.675072652
Highcost_DAC,AH,Industry,42.74272044,43.83075551,45.29053564,43.33903928,33.56123722,27.97883802,23.7605207,17.56898867,13.21162027
Highcost_DAC,AH,Residential,4.407121876,5.110454725,5.576787753,5.844191925,5.69399899,5.334699035,5.075398409,4.294208867,4.126702026
Highcost_DAC,AH,Transportation,9.044136063,9.323885311,9.300260302,9.048491719,8.505690192,7.946820778,7.52139866,6.57808926,6.393916784
Highcost_DAC,BJ,Agricultural,0.015906233,0.015141038,0.014634454,0.013435359,0.010996234,0.008899872,0.006765247,0.004104682,0.003097163
Highcost_DAC,BJ,Electricity generation,13.84500536,13.81662569,13.82717335,13.3272436,11.21153977,7.042177477,3.231577317,0.77336363,0.742825405
Highcost_DAC,BJ,Industry,8.679554116,10.32384673,11.46028115,11.60505047,9.966688487,8.724159243,7.797478144,5.971839709,4.849385116
Highcost_DAC,BJ,Residential,6.531198751,8.887165068,11.05307102,12.21164226,10.88550132,10.04401172,9.520099822,7.432174703,7.300357227
Highcost_DAC,BJ,Transportation,9.73672413,11.5526488,12.72375612,13.206003,12.96931616,12.01402267,10.99896403,8.027139005,7.157252371
Highcost_DAC,CQ,Agricultural,0.090179581,0.086160151,0.083637723,0.077917892,0.06466021,0.05332035,0.041746438,0.026714956,0.020804886
Highcost_DAC,CQ,Electricity generation,14.14086194,15.91817795,16.48722249,16.62655396,14.44091167,9.652886313,4.153222931,1.031184068,1.041309654
Highcost_DAC,CQ,Industry,29.04726096,31.15155665,33.07452532,32.92923759,26.73591376,22.29887191,18.67398257,13.54641315,10.15082728
Highcost_DAC,CQ,Residential,2.787555735,3.386785048,3.794669253,4.039644619,4.069639227,3.929091666,3.831240789,3.444897419,3.341658181
Highcost_DAC,CQ,Transportation,6.90654719,7.437581714,7.68227185,7.640571571,7.313825801,6.883391799,6.542525735,5.570871734,5.390591109
Highcost_DAC,China,Biomass (offsetting),-59.618354,-119.3556616,-162.6356692,-215.1386911,-237.2192636,-240.609198,-246.7643262,-263.7677751,-277.1809767
Highcost_DAC,China,Others,20.0627842,33.789321,46.098309,63.537971,73.54881,84.3115,92.002172,88.2174835,90.750739
Highcost_DAC,FJ,Agricultural,0.154056359,0.14762885,0.142666797,0.131394468,0.110728248,0.093923163,0.076940599,0.053747484,0.043787806
Highcost_DAC,FJ,Electricity generation,35.59416946,39.20243949,39.27013984,40.31098297,34.57044004,18.81887076,6.691617084,1.240769368,1.123445768
Highcost_DAC,FJ,Industry,28.60983238,30.33414527,31.58603088,31.07719602,25.12906121,20.35183568,16.63212202,11.76068428,8.878659623
Highcost_DAC,FJ,Residential,1.919457804,2.114424329,2.214140121,2.246521826,2.146451644,1.963735855,1.816116942,1.523326349,1.398797061
Highcost_DAC,FJ,Transportation,9.458332425,9.981072737,10.20686131,10.20923387,9.618626558,8.868794619,8.198896658,6.247619055,5.833522085
Highcost_DAC,GD,Agricultural,0.306297239,0.292394093,0.281207752,0.2564437,0.214982844,0.181346608,0.147576238,0.101924293,0.082595202
Highcost_DAC,GD,Electricity generation,90.07387473,106.9323698,110.296895,116.109634,97.86601087,47.59381339,18.27168202,3.890955613,3.562856826
Highcost_DAC,GD,Industry,54.59182963,58.9416469,61.68533568,60.41986918,49.56636124,40.80725473,33.57298083,23.74158708,18.16853056
Highcost_DAC,GD,Residential,9.074069283,11.31430107,12.88524582,13.95149371,14.21912057,13.68594533,13.29060357,11.68901053,11.10564055
